,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
300,0.3524177670478821,0.4633556008338928,0.4870122969150543,0.4701513051986694,0.4393484890460968,0.4677425622940063,0.5417962670326233,0.4549503624439239,0.5421483516693115,0.4922610521316528,0.4793468117713928,0.4551528990268707,0.4174285531044006,0.5207638740539551,0.4767942428588867
301,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,
350,0.3597238957881927,0.4489771127700805,0.4628483951091766,0.4402167201042175,0.4386360645294189,0.4848219752311706,0.5250541567802429,0.4496974647045135,0.550499677658081,0.5040350556373596,0.5070701241493225,0.4202609956264496,0.4013912081718445,0.5259987711906433,0.4557466804981231
351,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,
400,0.374289333820343,0.4655099511146545,0.4565067291259765,0.4228270351886749,0.4542079865932464,0.451051115989685,0.5081918239593506,0.4374438822269439,0.5600414872169495,0.4917395114898681,0.4844312965869903,0.4076479375362396,0.3983109295368194,0.501365065574646,0.4514197111129761
